시도명,관광지출액,전년도 관광지출액
서울특별시,1.2279854858E10,1.2369005906E10
부산광역시,3.161153888E9,3.138182538E9
대구광역시,1.906284751E9,1.848032509E9
인천광역시,2.010430573E9,1.849617256E9
광주광역시,9.43876441E8,9.71504555E8
대전광역시,1.660658768E9,1.572318185E9
울산광역시,5.68438062E8,5.70702718E8
세종특별자치시,1.04609769E8,1.02485785E8
경기도,9.583900542E9,9.626191373E9
충청북도,1.049948154E9,1.059999983E9
충청남도,1.207161543E9,1.207312371E9
전라남도,9.90073881E8,9.80049728E8
경상북도,1.272634296E9,1.283521225E9
경상남도,1.561558986E9,1.572391242E9
제주특별자치도,1.035958016E9,1.226635043E9
강원특별자치도,1.312143895E9,1.386550416E9
전북특별자치도,7.24280237E8,7.93022801E8
